record_number,system_code,external_system_id,main_crn_type,main_crn,date_registered,nhs_number,nhs_number_statusnhs,sex,title,pat_name_1,pat_name_2,pat_name_3,pat_name_family,maiden_name,of_birth,place_born,entered_country,nationality,ethnic_group,preferred_language,religion_code,marital_status,occupation_code,where_heard_of_service,pat_address_1,pat_address_2,pat_address_3,pat_address_4,post_code,telephone_no,telephone_no_2,telephone_no_3,pat_email_address,pat_lives_alone,pat_permission_to_contact,pat_permission_to_phone,pat_address_from,of_death,where_died,cause_of_death,death_treatment_related,death_hiv_related,extra_info_1_type,extra_info_1,extra_info_2_type,extra_info_2,extra_info_3_type,extra_info_3,extra_info_4_type,extra_info_4,extra_info_5_type,extra_info_5,extra_info_6_type,extra_info_6,extra_info_7_type,extra_info_7,extra_info_8_type,extra_info_8,extra_info_9_type,extra_info_9,extra_info_10_type,extra_info_10,comments,note_1_subject,note_1_text,note_2_subject,note_2_text,nok_relationship,nok_title,nok_name_1,nok_name_family,nok_address_1,nok_address_2,nok_address_3,nok_address_4,nok_post_code,nok_telephone_1,nok_telephone_2,nok_comments,pat_permission_to_copy_gp,gp_national_code,practice_national_code,practice_post_code,practice_applies_from,gdp_national_code,gdp_practice_national_code,gdp_practice_post_code,gdp_practice_applies_from
11,SRC_PAS_V83,MRN10011,PAS,MRN10011,13/04/2001,9434766028,A,1,MR,GEORGE,,,HARRIS,,,ABROAD,,GBR,B,EN,M,S,10,,45 Kings Lane,Oxford,,,EC4M 5WT,020 7710 3010,020 7710 3010,020 7710 3010,george.harris@qvh.nhs.uk,N,Y,Y,17/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,PARENT,MRS,MARY HARRIS,MARY HARRIS,45 Kings Lane,45 Kings Lane,45 Kings Lane,45 Kings Lane,EC4M 5WT,07710100010,07710100010,Next of kin informed,Y,G1122334,P40011,EC4M 5WT,,G1122334,P40011,EC4M 5WT,
12,SRC_PAS_V83,MRN10012,PAS,MRN10012,07/05/2009,9434766028,R,2,MRS,AMELIA,,,MARTIN,MARTIN,,LONDON,,GBR,D,EN,J,W,20,,19 Queen Street,Cambridge,,,WC2N 5DU,020 7711 3011,020 7711 3011,020 7711 3011,amelia.martin@qvh.nhs.uk,N,Y,Y,25/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY MARTIN,MARY MARTIN,19 Queen Street,19 Queen Street,19 Queen Street,19 Queen Street,WC2N 5DU,07711100011,07711100011,Next of kin informed,Y,G2233445,P40012,WC2N 5DU,,G2233445,P40012,WC2N 5DU,
13,SRC_PAS_V83,MRN10013,PAS,MRN10013,20/08/1980,9434766036,A,1,MR,OLIVER,,,THOMPSON,,,LONDON,,GBR,G,EN,N,M,30,,88 Mill Road,Coventry,,,SE1 7PB,020 7712 3012,020 7712 3012,020 7712 3012,oliver.thompson@qvh.nhs.uk,Y,Y,Y,08/02/2011,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,PARENT,MRS,MARY THOMPSON,MARY THOMPSON,88 Mill Road,88 Mill Road,88 Mill Road,88 Mill Road,SE1 7PB,07712100012,07712100012,Next of kin informed,Y,G3344556,P40013,SE1 7PB,,G3344556,P40013,SE1 7PB,
14,SRC_PAS_V83,MRN10014,PAS,MRN10014,15/03/1989,9434766044,R,2,MRS,SOPHIA,,,GARCIA,GARCIA,,ABROAD,,GBR,H,EN,N,S,30,,7 Meadow Way,Leicester,,,W1A 1AA,020 7713 3013,020 7713 3013,020 7713 3013,sophia.garcia@qvh.nhs.uk,Y,Y,Y,04/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SPOUSE,MRS,MARY GARCIA,MARY GARCIA,7 Meadow Way,7 Meadow Way,7 Meadow Way,7 Meadow Way,W1A 1AA,07713100013,07713100013,Next of kin informed,Y,G4455667,P40014,W1A 1AA,,G4455667,P40014,W1A 1AA,
15,SRC_PAS_V83,MRN10015,PAS,MRN10015,05/09/2003,9434766052,R,1,MR,WILLIAM,,,MARTINEZ,,,BIRMINGHAM,,GBR,Z,EN,N,M,30,,52 Forest Road,Norwich,,,SW1A 2AA,020 7714 3014,020 7714 3014,020 7714 3014,william.martinez@qvh.nhs.uk,Y,Y,Y,16/09/2008,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,PARENT,MRS,MARY MARTINEZ,MARY MARTINEZ,52 Forest Road,52 Forest Road,52 Forest Road,52 Forest Road,SW1A 2AA,07714100014,07714100014,Next of kin informed,Y,G5566778,P40015,SW1A 2AA,,G5566778,P40015,SW1A 2AA,
16,SRC_PAS_V83,MRN10016,PAS,MRN10016,03/01/2008,9434766060,W,2,MRS,ISABELLA,,,ROBINSON,ROBINSON,,BIRMINGHAM,,GBR,A,EN,C,S,30,,11 Castle Hill,Exeter,,,E1 6AN,020 7715 3015,020 7715 3015,020 7715 3015,isabella.robinson@qvh.nhs.uk,Y,Y,Y,24/03/2008,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY ROBINSON,MARY ROBINSON,11 Castle Hill,11 Castle Hill,11 Castle Hill,11 Castle Hill,E1 6AN,07715100015,07715100015,Next of kin informed,Y,G6677889,P40016,E1 6AN,,G6677889,P40016,E1 6AN,
17,SRC_PAS_V83,MRN10017,PAS,MRN10017,14/12/1997,9434766079,A,1,MR,HENRY,,,CLARK,,,LONDON,,GBR,C,EN,C,M,10,,29 Windmill Lane,Gloucester,,,N1 9GU,020 7716 3016,020 7716 3016,020 7716 3016,henry.clark@qvh.nhs.uk,N,Y,Y,05/09/2018,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY CLARK,MARY CLARK,29 Windmill Lane,29 Windmill Lane,29 Windmill Lane,29 Windmill Lane,N1 9GU,07716100016,07716100016,Next of kin informed,Y,G7788990,P40017,N1 9GU,,G7788990,P40017,N1 9GU,
18,SRC_PAS_V83,MRN10018,PAS,MRN10018,10/01/1984,9434766087,R,2,MRS,MIA,,,LEWIS,LEWIS,,LONDON,,GBR,B,EN,J,M,20,,3 Harbour Close,Portsmouth,,,EC4M 5WT,020 7717 3017,020 7717 3017,020 7717 3017,mia.lewis@qvh.nhs.uk,Y,Y,Y,28/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,SIBLING,MRS,MARY LEWIS,MARY LEWIS,3 Harbour Close,3 Harbour Close,3 Harbour Close,3 Harbour Close,EC4M 5WT,07717100017,07717100017,Next of kin informed,Y,G8899001,P40018,EC4M 5WT,,G8899001,P40018,EC4M 5WT,
19,SRC_PAS_V83,MRN10019,PAS,MRN10019,05/12/1999,9434766095,S,1,MR,CHARLES,,,LEE,,,LONDON,,GBR,D,EN,M,W,10,,66 Priory Road,Brighton,,,WC2N 5DU,020 7718 3018,020 7718 3018,020 7718 3018,charles.lee@qvh.nhs.uk,Y,Y,Y,26/07/2010,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,CHILD,MRS,MARY LEE,MARY LEE,66 Priory Road,66 Priory Road,66 Priory Road,66 Priory Road,WC2N 5DU,07718100018,07718100018,Next of kin informed,Y,G9900112,P40019,WC2N 5DU,,G9900112,P40019,WC2N 5DU,
20,SRC_PAS_V83,MRN10020,PAS,MRN10020,26/03/1988,9434766109,A,2,MRS,GRACE,,,WALKER,WALKER,,BIRMINGHAM,,GBR,G,EN,C,W,20,,14 Orchard Gdns,Southampton,,,SE1 7PB,020 7719 3019,020 7719 3019,020 7719 3019,grace.walker@qvh.nhs.uk,Y,Y,Y,10/06/2014,,,,,,,,,,,,,,,,,,,,,,,,,,No clinical issues noted,,,,,CHILD,MRS,MARY WALKER,MARY WALKER,14 Orchard Gdns,14 Orchard Gdns,14 Orchard Gdns,14 Orchard Gdns,SE1 7PB,07719100019,07719100019,Next of kin informed,Y,G0011223,P40020,SE1 7PB,,G0011223,P40020,SE1 7PB,
